SMILES,Idx,FID
[9*]n1c(=O)c2ccc([16*])cc2c2cc([16*])ccc2c1=O,0,464
[9*]n1c(=O)c2ccc([16*])cc2c2cc([16*])ccc2c1=O,8,284
[9*]n1c(=O)c2ccc([16*])cc2c2cc([16*])ccc2c1=O,14,284
[9*]n1c2ccccc2c2c1c1c3ccccc3n([9*])c1c1c3ccccc3n([9*])c21,0,55
[9*]n1c2ccccc2c2c1c1c3ccccc3n([9*])c1c1c3ccccc3n([9*])c21,18,55
[9*]n1c2ccccc2c2c1c1c3ccccc3n([9*])c1c1c3ccccc3n([9*])c21,28,55
[16*]c1ccc([16*])c2nsnc12,0,25
[16*]c1ccc([16*])c2nsnc12,5,25
[5*]N(C)C,0,66
[14*]c1cncc([14*])n1,0,22
[14*]c1cncc([14*])n1,6,22
[7*]=Cc1nc2c3ccccc3c3ccccc3c2n1[9*],0,91
[7*]=Cc1nc2c3ccccc3c3ccccc3c2n1[9*],19,106
[9*]n1c2ccccc2c2cc3sc4ccccc4c3cc21,0,581
[6*]C(=O)CCCC([6*])=O,0,339
[6*]C(=O)CCCC([6*])=O,7,339
[7*]=C(c1ccccc1)c1ccc([16*])cc1,0,16
[7*]=C(c1ccccc1)c1ccc([16*])cc1,12,30
[7*]=C(c1ccccc1)c1ccccc1,0,16
[16*]c1cccc2c3ccccc3n3c4ccccc4nc3c12,0,483
[13*]C1CC(c2ccc(Br)cc2)=NN1c1ccccc1,0,585
[16*]c1ccc2sc3ccccc3c2c1,0,90
[9*]n1c2ccccc2c2cc(C#N)ccc21,0,118
[9*]n1c2ccccc2c2cc([16*])c(C#N)c([16*])c21,0,418
[9*]n1c2ccccc2c2cc([16*])c(C#N)c([16*])c21,11,410
[9*]n1c2ccccc2c2cc([16*])c(C#N)c([16*])c21,16,327
[16*]c1ccc2c(c1)C1(CCCC1)c1cc([16*])ccc1-2,0,406
[16*]c1ccc2c(c1)C1(CCCC1)c1cc([16*])ccc1-2,15,406
[9*]n1c2ccccc2c2c1ccc1c3ccccc3n([9*])c12,0,295
[9*]n1c2ccccc2c2c1ccc1c3ccccc3n([9*])c12,20,309
[1*]C(=O)CCP1(=O)Oc2ccccc2-c2ccccc21,0,127
[4*]C[8*],0,65
[4*]C[8*],2,49
[14*]c1ccc([14*])o1,0,155
[14*]c1ccc([14*])o1,5,155
[16*]c1ccc(F)cc1,0,95
[5*]N1c2ccccc2C(C)(C)c2c1ccc1oc3ccccc3c21,0,503
[14*]c1ccc([16*])cn1,0,14
[14*]c1ccc([16*])cn1,5,33
[14*]c1nc2c([16*])ccc([16*])c2nc1[14*],0,31
[14*]c1nc2c([16*])ccc([16*])c2nc1[14*],5,92
[14*]c1nc2c([16*])ccc([16*])c2nc1[14*],9,92
[14*]c1nc2c([16*])ccc([16*])c2nc1[14*],13,31
[14*]c1cc([14*])n2ncnc2n1,0,168
[14*]c1cc([14*])n2ncnc2n1,4,156
[16*]c1ccc2c(c1)C(=O)C(C)(C)C2=O,0,438
[5*]N1c2ccc(C)cc2C2(c3ccccc3Oc3ccccc32)c2cc(C)ccc21,0,187
[5*]N1c2ccccc2C=Cc2ccccc21,0,186
[8*]C(F)(F)F,0,40
[14*]c1cnc([14*])cn1,0,22
[14*]c1cnc([14*])cn1,5,22
[16*]c1ccc(S(=O)(=O)c2ccc([16*])cn2)nc1,0,378
