FID,SMILES,frequency
418,[9*]n1c2ccccc2c2ccc(C#N)cc21,2
419,[5*]N1C2=CC=CCC2c2ccccc21,2
420,[16*]c1c(Br)cccc1Br,2
421,[7*]=Cc1sccc1F,2
422,[16*]c1ccc2c(c1)c1ccccc1c1nc3ncccc3nc21,2
423,[16*]c1cccc2nc3c4cccnc4c4ncccc4c3nc12,2
424,[16*]c1cc2c3cc4ccccc4cc3c3cccc4c5cc6ccccc6cc5c(c1)c2c34,2
425,[14*]c1ncnc(C2(c3ccc4[nH]c5ccccc5c4c3)c3ccccc3-c3ccccc32)n1,2
426,[7*]=Cc1sc(Br)cc1C,2
427,[16*]c1ccc2[nH]c3ccc(C)cc3c2c1,2
428,[16*]c1cc(P(=O)(c2ccccc2)c2ccccc2)c2[nH]c3c(P(=O)(c4ccccc4)c4ccccc4)cccc3c2c1,2
429,[16*]c1cccc2c1[nH]c1ccccc12,2
430,[14*]c1cncnn1,2
431,[5*]N1c2ccccc2C2(c3ccccc3Nc3ccccc32)c2ccccc21,2
432,[16*]c1ccc2c(c1)[Si](c1ccccc1)(c1ccccc1)c1ccccc1N2,2
433,[7*]=Cc1ccncc1,2
434,[9*]n1c2ccccc2c2cc(C3(c4ccccc4)c4ccccc4-c4ccccc43)ccc21,2
435,[14*]c1cnc2cnccc2n1,2
436,[16*]c1cc2c3cc4cc(Cl)c(Cl)cc4cc3c3cccc4c5cc6cc(Cl)c(Cl)cc6cc5c(c1)c2c34,2
437,[9*]n1cc(C)c2ccccc21,2
438,[16*]c1ccc2c(c1)C(=O)C(C)(C)C2=O,1
439,[16*]c1c(C)c(C)c(B(c2c(C)c(C)c(C#N)c(C)c2C)c2c(C)c(C)c(C#N)c(C)c2C)c(C)c1C,1
