MolID,SMILES,HOMO,LUMO,S1,T1,Est
76,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)n2)cc1,-5.416701284,-1.94697567,3.0445,2.6966,0.3479000000000001
77,c1ccc(-c2c(-c3ccccc3)c(-c3ccc(N(c4ccccc4)c4cccc5c4sc4ccccc45)cc3)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccc(N(c3ccccc3)c3cccc4c3sc3ccccc34)cc2)cc1,-4.935059504,-0.971719094,3.6788,2.8973,0.7814999999999999
78,c1ccc(-c2nc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccccc3n2)cc1,-5.13887289,-1.7970408560000002,2.9532,2.4199,0.5332999999999997
79,CC1(C)c2ccccc2N(c2cc(-c3cc(-c4ccc(-c5ccccc5)cc4)nc(-c4ccccc4)n3)cc(N3c4ccccc4C(C)(C)c4ccccc43)c2)c2ccccc21,-4.914650954,-1.957316002,2.4699,2.4554,0.0144999999999999
80,N#Cc1nc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)n1,-5.915758360000001,-2.1154142360000003,3.245,2.8536,0.3913999999999999
81,Cc1nc(C)c(C#N)c(-c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc2)c1C#N,-4.9660805,-2.189701358,2.3023,2.2974,0.0048999999999996
82,CC1(C)c2ccccc2N(c2ccc(-c3ncc(-c4cnc(-c5ccc(N6c7ccccc7C(C)(C)c7ccccc76)cc5)nc4)cn3)cc2)c2ccccc21,-4.905126964,-2.328207384,2.1818,2.1776,0.0041999999999999
83,C(=C/n1c2ccccc2c2cc(-c3cccc4ccccc34)ccc21)\c1ccccc1,-5.1883976380000005,-1.11158569,3.6443,2.6052,1.0391
84,Fc1ccc2nc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)c(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)nc2c1,-4.730974004,-2.331744866,2.0394,2.0147,0.0247000000000001
85,O=S1(=O)c2ccccc2C2(c3ccccc3-c3ccc(-c4ccc5c(c4)C4(c6ccccc6-5)c5ccccc5S(=O)(=O)c5ccccc54)cc32)c2ccccc21,-5.7802455880000005,-1.70207307,3.6767,2.6411,1.0356
86,CCCCn1c(-c2ccc(-c3ccc4ccccc4c3)cc2)nc2nc3c(cc21)nc(-c1ccc(-c2ccc4ccccc4c2)cc1)n3CCCC,-5.290712502,-1.647922384,3.2701,2.444,0.8260999999999998
87,CC1(C)c2ccccc2N(c2ccc3c(c2)-c2cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc2C3=O)c2ccccc21,-5.037102254000001,-2.61637611,1.8941,1.8879,0.0061999999999999
88,c1ccc(-c2nc3cc(N4c5ccccc5Oc5ccccc54)cnc3nc2-c2ccccc2)cc1,-4.802539986,-2.415555978,1.8192,1.7802,0.0389999999999999
89,CCCCN(CCCC)c1ccc(/C=C/c2ccc3nc(/C=C/C4=C(C#N)C(=C(C#N)C#N)OC4(C)c4ccc(C)cc4)c(-c4ccccc4)nc3c2)cc1,-5.110573034000001,-3.213122112,1.7581,1.2747,0.4834
90,c1ccc(-c2nc(-c3ccccc3)nc(-c3cccc(-c4cccc5c4C4(c6ccccc6-5)c5ccccc5N(c5ccccc5)c5ccccc54)c3)n2)cc1,-4.8346494380000005,-1.79459183,2.5679,2.5543,0.0135999999999998
91,c1ccc(N(c2ccccc2)c2ccc(-c3ccc4cccnc4n3)cc2)cc1,-4.986216936,-1.754863186,2.8862,2.3735,0.5127000000000002
92,CC1(C)c2ccccc2N(c2ccc(-c3ccc4c(c3)C3(c5ccccc5S(=O)(=O)c5ccccc53)c3cc(-c5ccc(N6c7ccccc7C(C)(C)C7C=CC=CC76)cc5)ccc3S4(=O)=O)cc2)c2ccccc21,-4.809070722,-1.626969606,2.7126,2.7064,0.0062000000000002
93,O=P(c1ccccc1)(c1ccccc1)c1ccc(C2(c3ccc(-n4c5ccccc5c5ccccc54)cc3)CCCCC2)cc1,-5.289624046,-0.831852498,4.0197,3.1812,0.8385000000000002
94,S=P(c1ccccc1)(c1ccccc1)c1ccc(C2(c3ccc(-n4c5ccccc5c5ccccc54)cc3)CCCCC2)cc1,-5.32391041,-0.8764791940000001,4.0238,3.1808,0.8429999999999995
95,Fc1nc(F)c(F)c(C2(c3ccc4c(c3)c3ccccc3n4-c3ccccc3)c3ccccc3-c3ccccc32)c1F,-5.408809978,-1.332270144,3.5752,3.0201,0.5551000000000004
96,CCC1(CC)c2ccccc2-c2ccc(-n3c(-c4ccc(OCCCCn5c6ccccc6c6ccccc65)cc4)nc4c5ccccc5c5ccccc5c43)cc21,-5.0281224920000005,-1.25716668,3.2657,2.7143,0.5513999999999997
97,CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4cc5cccc6ccc7cccc4c7c65)c(-c4ccc5ccccc5c4)c3)c3ccccc3-c3ccccc3)cc21,-4.870296372,-1.426965816,3.0718,2.1029,0.9689
98,O=c1c2ccccc2oc2cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)ccc12,-5.489899950000001,-2.070243312,3.0054,2.919,0.0863999999999998
99,Cc1ccc(-n2c(-c3ccc(OCCCCn4c5ccccc5c5ccccc54)cc3)nc3c4ccccc4c4ccccc4c32)cc1,-5.0262176940000005,-0.8745743960000001,3.8384,2.7111,1.1273
100,CC(C)(C)c1ccc(-n2c(=O)c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3c3cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc3c2=O)cc1,-5.030571518,-1.7820745860000002,2.6568,2.6425,0.0142999999999999
101,O=C(c1ccccc1)c1ccc(-n2c3ccccc3c3c4c(c5ccccc5n4-c4ccccc4)c4c(c5ccccc5n4-c4ccccc4)c32)cc1,-4.9119298140000005,-1.7986735400000002,2.7262,2.5811,0.1450999999999997
102,c1ccc(-c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)c3nsnc23)cc1,-5.310576824,-2.5078026240000004,2.4347,1.8358,0.5988999999999998
103,N#Cc1c(-c2ccccc2)nc(-c2ccccc2)c(C#N)c1-c1ccc(N2c3ccccc3Oc3ccccc32)cc1,-4.656958996,-2.49800652,1.8281,1.8274,0.0007000000000001
104,Clc1ccc(C2=C(c3ccc(Cl)cc3)[Si]3(C(c4ccccc4)=C(c4ccccc4)C(c4ccccc4)=C3c3ccccc3)C(c3ccc(Cl)cc3)=C2c2ccc(Cl)cc2)cc1,-5.549220802000001,-2.209837794,2.7097,1.7926,0.9171000000000002
105,N#Cc1ccc(-c2ccccc2-n2c3ccccc3c3ccccc32)cc1,-5.547860232000001,-1.688195256,3.2482,3.0782,0.1700000000000003
106,O=C1c2cccc3c(N4c5ccccc5Oc5ccccc54)ccc(c23)C(=O)N1c1ccccc1,-4.941590240000001,-2.623451074,1.7027,1.695,0.0077
107,C(=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,-5.21370424,-1.75649587,3.0536,2.15,0.9036
108,CN(C)c1ccc(-c2cncc(-c3ccc(N(C)C)cc3)n2)cc1,-4.89669143,-0.978794058,3.3951,2.8072,0.5878999999999999
109,C(=C/c1nc2c3ccccc3c3ccccc3c2n1-c1ccccc1)\c1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,-4.825669676,-1.595404382,2.8925,2.0216,0.8709000000000002
110,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2ccccc2c2cc3sc4ccccc4c3cc21,-5.145947854,-1.206281362,3.3956,2.7459,0.6497000000000002
111,O=C(CCCC(=O)c1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1)c1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1,-5.345951644,-1.871600092,3.2009,2.3275,0.8733999999999997
112,CC(C)(C)c1cc(-n2c(-c3ccc(-c4ccc(-c5ccc(C(=C(c6ccccc6)c6ccccc6)c6ccccc6)cc5)c5nsnc45)s3)nc3c4ccccc4c4ccccc4c32)cc(C(C)(C)C)c1,-4.852336848,-2.4729720320000004,2.0514,1.3704,0.681
113,c1ccc2c(c1)nc1c3c(-n4c5ccccc5c5ccccc54)cccc3c3ccccc3n21,-5.1386007760000005,-1.5793496560000002,2.9636,2.7039,0.2597
114,Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccc5cccc6ccc3c4c56)C2)cc1,-5.008802398,-1.736359434,2.7787,2.0732,0.7055000000000002
115,O=C(c1ccc2sc3ccccc3c2c1)c1cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)ccc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1,-4.8161456860000005,-1.601118776,2.7698,2.5654,0.2044000000000001
116,N#Cc1ccc2c(c1)c1ccccc1n2-c1cc2c3ccccc3n(-c3ccccc3)c2c(-n2c3ccccc3c3cc(C#N)ccc32)c1C#N,-5.968004248,-2.319227622,3.0568,2.8363,0.2204999999999999
117,c1ccc2c(c1)Sc1ccccc1N2c1ccc2c(c1)C1(CCCC1)c1cc(N3c4ccccc4Sc4ccccc43)ccc1-2,-4.968529526,-1.388053514,3.0109,2.9235,0.0873999999999997
118,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5ccc6c(c7ccccc7n6-c6ccccc6)c54)cc3)n2)cc1,-5.033020544,-1.927111348,2.7021,2.6174,0.0847000000000002
119,O=P(c1ccccc1)(c1ccccc1)c1ccc2c(c1)-c1ccc(P(=O)(c3ccccc3)c3ccccc3)cc1S2(=O)=O,-6.778631854,-2.14017661,4.4054,2.8828,1.5226000000000002
120,O=C(CCP1(=O)Oc2ccccc2-c2ccccc21)OCc1ccc(COC(=O)CCP2(=O)Oc3ccccc3-c3ccccc32)o1,-6.02188282,-1.516219208,4.2276,3.0466,1.1809999999999996
121,O=C(c1ccc(C(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,-5.257514594,-1.92792769,2.953,2.4929,0.4600999999999997
122,c1ccc(-c2nc(-c3ccccc3)nc(-c3c4ccccc4c(-c4c5ccccc5c(N(c5ccccc5)c5ccccc5)c5ccccc45)c4ccccc34)n2)cc1,-4.957644966,-1.935274768,2.5627,1.6581,0.9046
123,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1nc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c(C#N)c(-c2ccc(F)cc2)c1C#N,-5.692352766,-2.220178126,2.8719,2.531,0.3409
